get_subsidiary_list: Authorized: []; Handler: ConsultationControl
get_specializations: Authorized: []; Handler: ConsultationControl
get_doctor_list: Authorized: []; Handler: ConsultationControl
reserve_time: Authorized: [Patient]; Handler: ConsultationControl
create_consultation: Authorized: [Patient]; Handler: ConsultationControl
add_note: Authorized: [Doctor]; Handler: ConsultationControl
close_consultation: Authorized: [Patient, Doctor]; Handler: ConsultationControl
cancel_consultation: Authorized: [Patient, Doctor]; Handler: ConsultationControl
send_message: Authorized: [Patient, Doctor]; Handler: ConsultationControl
get_consultations: Authorized: []; Handler: ConsultationControl
get_messages: Authorized: [Patient, Doctor, Manager]; Handler: ConsultationControl
register_user: Authorized: []; Handler: UserControl
login: Authorized: []; Handler: UserControl
get_pendings: Authorized: [Manager]; Handler: UserControl
approve_user: Authorized: [Manager]; Handler: UserControl
get_users: Authorized: [Manager]; Handler: UserControl
add_rights: Authorized: [Manager]; Handler: UserControl
get_schedule: Authorized: [Doctor, Manager]; Handler: UserControl
change_schedule: Authorized: [Manager]; Handler: UserControl
vacation_planning: Authorized: [Doctor]; Handler: UserControl
approve_reject_plan: Authorized: [Manager]; Handler: UserControl
